Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.463251,54.818445,On or near Ballycolman Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.937782,54.625732,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.937336,54.612202,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.787407,54.516716,On or near Springfield Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.295746,54.999509,On or near Faulkner Court,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.271421,54.856066,On or near Brooke Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.910359,54.591568,On or near Ravenhill Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.888706,54.518403,On or near Queensfort Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.001917,54.550328,On or near Malone Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.843762,54.588988,On or near Kings Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.956591,54.615332,On or near Havana Way,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.482798,54.821395,On or near Carricklynn Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.940538,54.629723,On or near Chichester Court,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.704761,54.650578,On or near Jubilee Court,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.326309,54.750473,On or near Glenkeen,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.892261,54.585476,On or near Loopland Grove,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.030852,54.551279,On or near Lagmore Drive,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.324404,54.470871,On or near Antrim Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.914720,54.673595,On or near Lacken Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.034422,54.552254,On or near Lagmore Meadows,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.935448,54.605476,On or near Stanhope Drive,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.925804,54.602454,On or near Dunbar Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.710969,55.169412,On or near Meadowlands,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.921112,54.587629,On or near Shaftesbury Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.884564,54.602944,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.780091,54.729121,On or near Castleburn Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.945534,54.613258,On or near Manor Court,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.955327,54.605670,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.247203,54.102356,On or near Rossmara Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.934847,54.646051,On or near Antrim Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.970187,54.609981,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.558025,55.129673,On or near Ballindreen Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.424665,54.443326,On or near Seagoe Industrial Estate,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.926636,54.589125,On or near Walnut Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.027514,54.543264,On or near The Cutts,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.342943,54.470192,On or near Lough Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.274047,54.866408,On or near Ballymoney Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.611920,54.753594,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.939321,54.621005,On or near Rosemount Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.340574,54.172289,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.930154,54.597254,On or near Donegall Square North,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.298401,54.600309,On or near Drumragh Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.655227,54.351483,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.848824,54.629700,On or near Belfast Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.673281,54.844476,On or near Main Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.892164,54.595152,On or near Factory Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.899406,54.678632,On or near Glenville Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.168929,54.117857,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.922422,54.647860,On or near Whitewell Crescent,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.269956,54.880455,On or near Dunclug Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.235487,54.482408,On or near Deramore Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.055958,54.516411,On or near Bentrim Court,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.542717,54.780578,On or near Hillhead Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.945305,55.046148,On or near Rathbeg Crescent,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.933011,54.599199,On or near Queen Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.157911,54.316306,On or near Aughnacloy Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.274417,54.349701,On or near Scarva Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.442467,54.252212,On or near Main Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.949371,55.043218,On or near Roe Mill Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.298661,54.859685,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.754558,54.645102,On or near St Jeans,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.695973,54.447441,On or near Jockey Lane,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.937639,54.584479,On or near Elmwood Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.538824,54.642735,On or near Moat Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.305607,55.061785,On or near Scally Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.027908,54.539254,On or near Mosside Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.632694,54.628928,On or near Cotton Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.886436,54.595492,On or near Ravenscroft Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.464629,54.825978,On or near Main Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.326428,55.039108,On or near Lower Galliagh Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.814448,54.712692,On or near Belfast Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.252248,54.101621,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.803755,54.653564,On or near Dalchoolin,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.694241,54.652184,On or near Orlock Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.936270,54.690407,On or near Forthill Grove,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.289145,54.988431,On or near Pelham Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.462991,54.826321,On or near Church Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.905608,54.678937,On or near Glenabbey Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.007162,54.545150,On or near Yew Tree Walk,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.145855,54.414111,On or near Mount Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.463251,54.818445,On or near Ballycolman Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.939635,54.586005,On or near Minds Way,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.413089,54.351595,On or near Sinton Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.300765,54.600539,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.915902,54.573918,On or near Rossmore Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.967836,54.951766,On or near Castle Lane,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.270372,54.879841,On or near Hawthorne Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.938020,54.632035,On or near Antrim Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.945759,54.599263,On or near St. Peters Close,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.937762,54.611437,On or near Kinnaird Terrace,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.258292,54.419604,On or near Baird Avenue,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.026405,54.561746,On or near Laurelbank,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.655048,54.356979,On or near Alexander Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.814448,54.712692,On or near Belfast Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.480183,54.820279,On or near Jefferson Court,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.943144,54.599866,On or near Ardmoulin Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.278889,54.864986,On or near George Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.641561,54.476326,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.361748,54.852045,On or near Killane Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.540655,54.341625,On or near Marlacoo Road,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.556189,54.953657,On or near Coleraine Street,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.073511,54.517869,On or near Drumard Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.938519,54.620947,On or near Rosemount Gardens,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.319318,55.022109,On or near Carnhill,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.820172,54.718536,On or near Elmwood Park,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.043679,54.510956,On or near Market Lane,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.050510,54.508569,On or near Manor Drive,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.058789,54.511101,On or near The Green,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.467425,54.422727,On or near Baltylum Meadows,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.923999,54.598389,On or near Victoria Square,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.443620,54.419494,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-6.610871,54.755217,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-7.300765,54.600539,On or near ,,,Anti-social behaviour,,
,2017-12,Police Service of Northern Ireland,Police Service of Northern Ireland,-5.527608,54.608010,On or near Shore Road,,,Anti-social behaviour,,
